code	orthography	IPA
kwkn	Es capità no compra es passaport 	əs kəpiˈta no ˈkɔmpɾəs pəsəˈpɔrt 
kwpn	Es capità no ocupa sa càtedra	əs kəpiˈta nou̯ˈkupə sə ˈkatəð̞ɾə
kwtn	Es capità no compra sa caputxa	əs kəpiˈta no ˈkɔmpɾə sə kəˈput͡ʃə
pwkn	Sa crítica no compra es passaport	sə ˈkɾitikə no ˈkɔmpɾəs pəsəˈpɔrt
pwpn	Sa crítica no ocupa sa càtedra	sə ˈkɾitikə nou̯ˈkupə sə ˈkatəð̞ɾə
pwtn	Sa crítica no compra sa caputxa	sə ˈkɾitikə no ˈkɔmpɾə sə kəˈput͡ʃə
twkn	Es copista no compra es passaport	əs kuˈpistə no ˈkɔmpɾəs pəsəˈpɔrt
twpn	Es copista no ocupa sa càtedra	əs kuˈpistə nou̯ˈkupə sə ˈkatəð̞ɾə
twtn	Es copista no compra sa caputxa	əs kuˈpistə no ˈkɔmpɾə sə kəˈput͡ʃə
bwkn	Sa crítica protestant no compra es passaport	sə ˈkɾitikə pɾutəsˈtan no ˈkɔmpɾəs pəsəˈpɔrt
bwpn	Sa crítica protestant no ocupa sa càtedra	sə ˈkɾitikə pɾutəsˈtan nou̯ˈkupə sə ˈkatəð̞ɾə
bwtn	Sa crítica protestant no compra sa caputxa	sə ˈkɾitikə pɾutəsˈtan no ˈkɔmpɾə sə kəˈput͡ʃə
dwkn	Es copista protestant no compra es passaport	əs kuˈpistə pɾutəsˈtan no ˈkɔmpɾəs pəsəˈpɔrt
dwpn	Es copista protestant no ocupa sa càtedra	əs kuˈpistə pɾutəsˈtan nou̯ˈkupə sə ˈkatəð̞ɾə
dwtn	Es copista protestant no compra sa caputxa	əs kuˈpistə pɾutəsˈtan no ˈkɔmpɾə sə kəˈput͡ʃə
fwkn	Sa crítica tanoca no compra es passaport	sə ˈkɾitikə təˈnɔkə no ˈkɔmpɾəs pəsəˈpɔrt
fwpn	Sa crítica tanoca no ocupa sa càtedra	sə ˈkɾitikə təˈnɔkə nou̯ˈkupə sə ˈkatəð̞ɾə
fwtn	Sa crítica tanoca no compra sa caputxa	sə ˈkɾitikə təˈnɔkə no ˈkɔmpɾə sə kəˈput͡ʃə
gwkn	Es capità protestant no compra es passaport	əs kəpiˈta pɾutəsˈtan no ˈkɔmpɾəs pəsəˈpɔrt
gwpn	Es capità protestant no ocupa sa càtedra	əs kəpiˈta pɾutəsˈtan nou̯ˈkupə sə ˈkatəð̞ɾə
gwtn	Es capità protestant no compra sa caputxa	əs kəpiˈta pɾutəsˈtan no ˈkɔmpɾə sə kəˈput͡ʃə
jwkn	Es capità sòcrates no compra es passaport	əs kəpiˈta ˈsokɾates no ˈkɔmpɾəs pəsəˈpɔrt
