code	orthography	IPA
bwki	¿La cítara magrebí se toca con obsesión?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kon oƟeˈƟjon
bwka	La cítara magrebí se toca con obsesión.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kon oƟeˈƟjon
bwpi	¿La cítara magrebí se toca con pánico?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom ˈpaniko
bwpa	La cítara magrebí se toca con pánico.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom ˈpaniko
bwti	¿La cítara magrebí se toca con paciencia?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom paˈƟjenƟja
bwta	La cítara magrebí se toca con paciencia.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom paˈƟjenƟja
dwki	¿La guitarra magrebí se toca con obsesión?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kon oƟeˈƟjon
dwka	La guitarra magrebí se toca con obsesión.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kon oƟeˈƟjon
dwpi	¿La guitarra magrebí se toca con pánico?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom ˈpaniko
dwpa	La guitarra magrebí se toca con pánico.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom ˈpaniko
dwti	¿La guitarra magrebí se toca con paciencia?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom paˈƟjenƟja
dwta	La guitarra magrebí se toca con paciencia.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i Ɵe ˈtoka kom paˈƟjenƟja
fwki	¿La cítara española se toca con obsesión?	la ˈƟitaɾae̯Ɵpaˈɲola Ɵe ˈtoka kon oƟeˈƟjon
fwka	La cítara española se toca con obsesión.	la ˈƟitaɾae̯Ɵpaˈɲola Ɵe ˈtoka kon oƟeˈƟjon
fwpi	¿La cítara española se toca con pánico?	la ˈƟitaɾae̯Ɵpaˈɲola Ɵe ˈtoka kom ˈpaniko
fwpa	La cítara española se toca con pánico.	la ˈƟitaɾae̯Ɵpaˈɲola Ɵe ˈtoka kom ˈpaniko
fwti	¿La cítara española se toca con paciencia?	la ˈƟitaɾae̯Ɵpaˈɲola Ɵe ˈtoka kom paˈƟjenƟja
fwta	La cítara española se toca con paciencia.	la ˈƟitaɾae̯Ɵpaˈɲola Ɵe ˈtoka kom paˈƟjenƟja
gwki	¿El saxofón español se toca con obsesión?	el ƟaƟoˈfon eƟpaˈɲol Ɵe ˈtoka kon oƟeˈƟjon
gwka	El saxofón español se toca con obsesión.	el ƟaƟoˈfon eƟpaˈɲol Ɵe ˈtoka kon oƟeˈƟjon
gwpi	¿El saxofón español se toca con pánico?	el ƟaƟoˈfon eƟpaˈɲol Ɵe ˈtoka kom ˈpaniko
gwpa	El saxofón español se toca con pánico.	el ƟaƟoˈfon eƟpaˈɲol Ɵe ˈtoka kom ˈpaniko
gwti	¿El saxofón español se toca con paciencia?	el ƟaƟoˈfon eƟpaˈɲol Ɵe ˈtoka kom paˈƟjenƟja
gwta	El saxofón español se toca con paciencia..	el ƟaƟoˈfon eƟpaˈɲol Ɵe ˈtoka kom paˈƟjenƟja
jwki	¿El saxofón clásico se toca con obsesión?	el ƟaƟoˈfon ˈklaƟiko Ɵe ˈtoka kon oƟeˈƟjon
jwka	El saxofón clásico se toca con obsesión.	el ƟaƟoˈfon ˈklaƟiko Ɵe ˈtoka kon oƟeˈƟjon
jwpi	¿El saxofón clásico se toca con pánico?	el ƟaƟoˈfon ˈklaƟiko Ɵe ˈtoka kom ˈpaniko
jwpa	El saxofón clásico se toca con pánico.	el ƟaƟoˈfon ˈklaƟiko Ɵe ˈtoka kom ˈpaniko
jwti	¿El saxofón clásico se toca con paciencia?	el ƟaƟoˈfon ˈklaƟiko Ɵe ˈtoka kom paˈƟjenƟja
jwta	El saxofón clásico se toca con paciencia.	el ƟaƟoˈfon ˈklaƟiko Ɵe ˈtoka kom paˈƟjenƟja
kwbi	¿El saxofón se toca con pánico y con amor?	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
kwba	El saxofón se toca con pánico y con amor.	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
kwdi	¿El saxofón se toca con paciencia y con amor?	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
kwda	El saxofón se toca con paciencia y con amor.	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
kwfi	¿El saxofón se toca con pánico finito?	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpaniko fiˈnito
kwfa	El saxofón se toca con pánico finito.	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpaniko fiˈnito
kwgi	¿El saxofón se toca con obsesión y con amor?	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon i kon aˈmoɾ
kwga	El saxofón se toca con obsesión y con amor.	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon i kon aˈmoɾ
kwji	¿El saxofón se toca con obsesión práctica?	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon ˈpɾaɣ ̞tika
kwja	El saxofón se toca con obsesión práctica.	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon ˈpɾaɣ ̞tika
kwki	¿El saxofón se toca con obsesión?	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon
kwka	El saxofón se toca con obsesión.	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon
kwpi	¿El saxofón se toca con pánico?	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpaniko
kwpa	El saxofón se toca con pánico.	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpaniko
kwsi	¿El saxofón se toca con paciencia finita?	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟja fiˈnita
kwsa	El saxofón se toca con paciencia finita.	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟja fiˈnita
kwti	¿El saxofón se toca con paciencia?	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟja
kwta	El saxofón se toca con paciencia.	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟja
kwvi	¿El saxofón se toca con pánico ˈpɾaɣ ̞tiko?	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpaniko ˈpɾaɣ ̞tiko
kwva	El saxofón se toca con pánico ˈpɾaɣ ̞tiko.	el ƟaƟoˈfon Ɵe ˈtoka kom ˈpaniko ˈpɾaɣ ̞tiko
kwxi	¿El saxofón se toca con obsesión finita?	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon fiˈnita
kwxa	El saxofón se toca con obsesión finita.	el ƟaƟoˈfon Ɵe ˈtoka kon oƟeˈƟjon fiˈnita
kwzi	¿El saxofón se toca con paciencia práctica?	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟja ˈpɾaɣ ̞tika
kwza	El saxofón se toca con paciencia práctica.	el ƟaƟoˈfon Ɵe ˈtoka kom paˈƟjenƟja ˈpɾaɣ ̞tika
pwbi	¿La cítara se toca con pánico y con amor?	la ˈƟitaɾa Ɵe ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
pwba	La cítara se toca con pánico y con amor.	la ˈƟitaɾa Ɵe ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
pwdi	¿La cítara se toca con paciencia y con amor?	la ˈƟitaɾa Ɵe ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
pwda	La cítara se toca con paciencia y con amor.	la ˈƟitaɾa Ɵe ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
pwfi	¿La cítara se toca con pánico fiˈnito?	la ˈƟitaɾa Ɵe ˈtoka kom ˈpaniko fiˈnito
pwfa	La cítara se toca con pánico fiˈnito.	la ˈƟitaɾa Ɵe ˈtoka kom ˈpaniko fiˈnito
pwgi	¿La cítara se toca con obsesión y con amor?	la ˈƟitaɾa Ɵe ˈtoka kon oƟeˈƟjon i kon aˈmoɾ
pwga	La cítara se toca con obsesión y con amor.	la ˈƟitaɾa Ɵe ˈtoka kon oƟeˈƟjon i kon aˈmoɾ
