code	orthography	IPA
bwki	¿La cítara magrebí se toca con obsesión?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjon
bwka	La cítara magrebí se toca con obsesión.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjon
bwpi	¿La cítara magrebí se toca con pánico?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
bwpa	La cítara magrebí se toca con pánico.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
bwti	¿La cítara magrebí se toca con paciencia?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
bwta	La cítara magrebí se toca con paciencia.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
dwki	¿La guitarra magrebí se toca con obsesión?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjon
dwka	La guitarra magrebí se toca con obsesión.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjon
dwpi	¿La guitarra magrebí se toca con pánico?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
dwpa	La guitarra magrebí se toca con pánico.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
dwti	¿La guitarra magrebí se toca con paciencia?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
dwta	La guitarra magrebí se toca con paciencia.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
fwki	¿La cítara española se toca con obsesión?	la ˈƟitaɾae̯spaˈɲola se ˈtoka kon oseˈsjon
fwka	La cítara española se toca con obsesión.	la ˈƟitaɾae̯spaˈɲola se ˈtoka kon oseˈsjon
fwpi	¿La cítara española se toca con pánico?	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom ˈpaniko
fwpa	La cítara española se toca con pánico.	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom ˈpaniko
fwti	¿La cítara española se toca con paciencia?	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
fwta	La cítara española se toca con paciencia.	la ˈƟitaɾae̯spaˈɲola se ˈtoka kom paˈƟjenƟja
gwki	¿El saxofón español se toca con obsesión?	el sasoˈfon espaˈɲol se ˈtoka kon oseˈsjon
gwka	El saxofón español se toca con obsesión.	el sasoˈfon espaˈɲol se ˈtoka kon oseˈsjon
gwpi	¿El saxofón español se toca con pánico?	el sasoˈfon espaˈɲol se ˈtoka kom ˈpaniko
gwpa	El saxofón español se toca con pánico.	el sasoˈfon espaˈɲol se ˈtoka kom ˈpaniko
gwti	¿El saxofón español se toca con paciencia?	el sasoˈfon espaˈɲol se ˈtoka kom paˈƟjenƟja
gwta	El saxofón español se toca con paciencia..	el sasoˈfon espaˈɲol se ˈtoka kom paˈƟjenƟja
jwki	¿El saxofón clásico se toca con obsesión?	el sasoˈfon ˈklasiko se ˈtoka kon oseˈsjon
jwka	El saxofón clásico se toca con obsesión.	el sasoˈfon ˈklasiko se ˈtoka kon oseˈsjon
jwpi	¿El saxofón clásico se toca con pánico?	el sasoˈfon ˈklasiko se ˈtoka kom ˈpaniko
jwpa	El saxofón clásico se toca con pánico.	el sasoˈfon ˈklasiko se ˈtoka kom ˈpaniko
jwti	¿El saxofón clásico se toca con paciencia?	el sasoˈfon ˈklasiko se ˈtoka kom paˈƟjenƟja
jwta	El saxofón clásico se toca con paciencia.	el sasoˈfon ˈklasiko se ˈtoka kom paˈƟjenƟja
kwbi	¿El saxofón se toca con pánico y con amor?	el sasoˈfon se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
kwba	El saxofón se toca con pánico y con amor.	el sasoˈfon se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
kwdi	¿El saxofón se toca con paciencia y con amor?	el sasoˈfon se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
kwda	El saxofón se toca con paciencia y con amor.	el sasoˈfon se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
kwfi	¿El saxofón se toca con pánico finito?	el sasoˈfon se ˈtoka kom ˈpaniko fiˈnito
kwfa	El saxofón se toca con pánico finito.	el sasoˈfon se ˈtoka kom ˈpaniko fiˈnito
kwgi	¿El saxofón se toca con obsesión y con amor?	el sasoˈfon se ˈtoka kon oseˈsjon i kon aˈmoɾ
kwga	El saxofón se toca con obsesión y con amor.	el sasoˈfon se ˈtoka kon oseˈsjon i kon aˈmoɾ
kwji	¿El saxofón se toca con obsesión práctica?	el sasoˈfon se ˈtoka kon oseˈsjon ˈpɾatika
kwja	El saxofón se toca con obsesión práctica.	el sasoˈfon se ˈtoka kon oseˈsjon ˈpɾatika
kwki	¿El saxofón se toca con obsesión?	el sasoˈfon se ˈtoka kon oseˈsjon
kwka	El saxofón se toca con obsesión.	el sasoˈfon se ˈtoka kon oseˈsjon
kwpi	¿El saxofón se toca con pánico?	el sasoˈfon se ˈtoka kom ˈpaniko
kwpa	El saxofón se toca con pánico.	el sasoˈfon se ˈtoka kom ˈpaniko
kwsi	¿El saxofón se toca con paciencia finita?	el sasoˈfon se ˈtoka kom paˈƟjenƟja fiˈnita
kwsa	El saxofón se toca con paciencia finita.	el sasoˈfon se ˈtoka kom paˈƟjenƟja fiˈnita
kwti	¿El saxofón se toca con paciencia?	el sasoˈfon se ˈtoka kom paˈƟjenƟja
kwta	El saxofón se toca con paciencia.	el sasoˈfon se ˈtoka kom paˈƟjenƟja
kwvi	¿El saxofón se toca con pánico ˈpɾatiko?	el sasoˈfon se ˈtoka kom ˈpaniko ˈpɾatiko
kwva	El saxofón se toca con pánico ˈpɾatiko.	el sasoˈfon se ˈtoka kom ˈpaniko ˈpɾatiko
kwxi	¿El saxofón se toca con obsesión finita?	el sasoˈfon se ˈtoka kon oseˈsjon fiˈnita
kwxa	El saxofón se toca con obsesión finita.	el sasoˈfon se ˈtoka kon oseˈsjon fiˈnita
kwzi	¿El saxofón se toca con paciencia práctica?	el sasoˈfon se ˈtoka kom paˈƟjenƟja ˈpɾatika
kwza	El saxofón se toca con paciencia práctica.	el sasoˈfon se ˈtoka kom paˈƟjenƟja ˈpɾatika
pwbi	¿La cítara se toca con pánico y con amor?	la ˈƟitaɾa se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
pwba	La cítara se toca con pánico y con amor.	la ˈƟitaɾa se ˈtoka kom ˈpanikoi̯ kon aˈmoɾ
pwdi	¿La cítara se toca con paciencia y con amor?	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
pwda	La cítara se toca con paciencia y con amor.	la ˈƟitaɾa se ˈtoka kom paˈƟjenƟjai̯ kon aˈmoɾ
