code	orthography	IPA
bwki	¿La cítara magrebí se toca con obsesión?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kon obseˈsjon
bwka	La cítara magrebí se toca con obsesión.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kon obseˈsjon
bwky	¿Que se toca con obsesión la cítara magrebí?	ke se ˈtoka  kon obseˈsjon la ˈƟitaɾa maɣ ̞ɾeˈβ̞i
bwpi	¿La cítara magrebí se toca con pánico?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
bwpa	La cítara magrebí se toca con pánico.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
bwpy	¿Que se toca con pánico la cítara magrebí?	ke se ˈtoka  kom ˈpaniko la ˈƟitaɾa maɣ ̞ɾeˈβ̞i
bwti	¿La cítara magrebí se toca con paciencia?	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
bwta	La cítara magrebí se toca con paciencia.	la ˈƟitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈƟjenƟja
bwty	¿Que se toca con paciencia la cítara magrebí?	ke se ˈtoka  kom paˈƟjenƟja la ˈƟitaɾa maɣ ̞ɾeˈβ̞i
dwki	¿La guitarra magrebí se toca con obsesión?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kon obseˈsjon
dwka	La guitarra magrebí se toca con obsesión.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kon obseˈsjon
dwky	¿Que se toca con obsesión la guitarra magrebí?	ke se ˈtoka  kon obseˈsjon la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i
dwpi	¿La guitarra magrebí se toca con pánico?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
dwpa	La guitarra magrebí se toca con pánico.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
